legacyofrust/banshee/sight "DSBANSIT"
legacyofrust/banshee/active "DSBANACT"
legacyofrust/banshee/pain "DSBANPAI"
legacyofrust/banshee/death "DSBANDTH"

legacyofrust/ghoul/sight "DSGHLSIT"
legacyofrust/ghoul/active "DSGHLACT"
legacyofrust/ghoul/pain "DSGHLPAI"
legacyofrust/ghoul/death "DSGHLDTH"
legacyofrust/ghoul/attack "DSGHLSHT"
legacyofrust/ghoul/shotx "DSGHLXPL"

legacyofrust/mindweaver/sight "DSCSPSIT"
legacyofrust/mindweaver/walk "DSCSPWLK"
legacyofrust/mindweaver/active "DSCSPACT"
legacyofrust/mindweaver/pain "DSDMPAIN"
legacyofrust/mindweaver/death "DSCSPDTH"

legacyofrust/shocktrooper/active "DSPPOACT"
legacyofrust/shocktrooper/pain "DSPPOPAI"
legacyofrust/shocktrooper/death "DSPPODTH"

legacyofrust/tyrant/sight "DSTYRSIT"
legacyofrust/tyrant/walk "DSTYRWLK"
legacyofrust/tyrant/active "DSTYRACT"
legacyofrust/tyrant/pain "DSDMPAIN"
legacyofrust/tyrant/death "DSTYRDTH"

legacyofrust/vassago/sight "DSVASSIT"
legacyofrust/vassago/active "DSVASACT"
legacyofrust/vassago/attack "DSVASATK"
legacyofrust/vassago/pain "DSVASPAI"
legacyofrust/vassago/death "DSVASDTH"
legacyofrust/vassago/shot "DSINCBRN"
legacyofrust/vassago/shotx "DSFLAME"
legacyofrust/vassago/flame1 "DSINCHT1"
legacyofrust/vassago/flame2 "DSINCHT2"
legacyofrust/vassago/flame3 "DSINCHT3"
